gene name,description,gene id,protein id,number of domains,domains[count],paralogous family ID,members of paralogous family ,representative family member,"paralog [ % identity representative member:paralog , % identity paralog: representative member]",consensus RNA target,putative RNA target,supporting evidence (# pubmed ID),category in Baltz et al.,category in Castello et al.,found in both human mass spec,human cell lines mass spec,category in Kwon et al. mouse mESC,Toronto RBPDB,GO RNA related category,GO RNA related category description,GO general category,GO general category description,OMIM
PDCD4,programmed cell death 4 (neoplastic transformation inhibitor) [Source:HGNC Symbol;Acc:8763],ENSG00000150593,ENSP00000280154,2,MA3[2],family-94,PDCD4,.,.,mRNA,putative mRNA,24681950,.,.,.,.,.,.,GO:0003723,RNA binding,"GO:0005488,GO:0003723,GO:0005515,GO:0005634,GO:0005737,GO:0005829,GO:0006915,GO:0045892,GO:0045786,GO:0007569,GO:0043508","binding,RNA binding,protein binding,nucleus,cytoplasm,cytosol,apoptotic process,negative regulation of transcription, DNA-dependent,negative regulation of cell cycle,cell aging,negative regulation of JUN kinase activity",.
PDCD7,programmed cell death 7 [Source:HGNC Symbol;Acc:8767],ENSG00000090470,ENSP00000204549,.,.,family-264,PDCD7,.,.,snRNA,snRNA,"This gene encodes a 59 kDa protein that is associated with the U11 small nuclear ribonucleoprotein (snRNP), which is a component of the minor U12-type spliceosome responsible for catalyzing pre-mRNA splicing of U12-type introns. [provided by RefSeq, Dec 2010]",.,.,.,.,.,.,"GO:0005689,GO:0008380","U12-type spliceosomal complex,RNA splicing","GO:0005689,GO:2001235,GO:0070234,GO:0006915,GO:0008380,GO:0051384","U12-type spliceosomal complex,positive regulation of apoptotic signaling pathway,positive regulation of T cell apoptotic process,apoptotic process,RNA splicing,response to glucocorticoid",.
PDE12,phosphodiesterase 12 [Source:HGNC Symbol;Acc:25386],ENSG00000174840,ENSP00000309142,1,Exo_endo_phos[1],family-892,"ANGEL1,ANGEL2,CCRN4L,CNOT6,CNOT6L,PDE12",ANGEL1,"ANGEL2[33,41],CCRN4L[16,25],CNOT6[17,21],CNOT6L[17,21],PDE12[17,19]",mRNA,mRNA,21666256,.,.,.,.,.,.,"GO:0004535,GO:0006397","poly(A)-specific ribonuclease activity,mRNA processing","GO:0046872,GO:0004535,GO:0005739,GO:0005759,GO:0006397","metal ion binding,poly(A)-specific ribonuclease activity,mitochondrion,mitochondrial matrix,mRNA processing",.
PEG10,paternally expressed 10 [Source:HGNC Symbol;Acc:14005],ENSG00000242265,ENSP00000417587,2,"CCDC155[1],Retrotrans_gag[1]",family-413,"PEG10,ZCCHC5,ZCCHC16",PEG10,"ZCCHC5[28,19],ZCCHC16[19,20]",unknown,unknown,"22658674, 22681889",candidate mRNA binder,novel,1,1,.,.,.,.,"GO:0005515,GO:0008270,GO:0003676,GO:0003677,GO:0005634,GO:0005737,GO:0001890,GO:0006915,GO:0030154,GO:0030512","protein binding,zinc ion binding,nucleic acid binding,DNA binding,nucleus,cytoplasm,placenta development,apoptotic process,cell differentiation,negative regulation of transforming growth factor beta receptor signaling pathway",.
PELO,pelota homolog (Drosophila) [Source:HGNC Symbol;Acc:8829],ENSG00000152684,ENSP00000274311,3,"eRF1_1[1],eRF1_2[1],eRF1_3[1]",family-129,PELO,.,.,mRNA,mRNA,20406461,.,.,.,.,.,.,.,.,"GO:0046872,GO:0004519,GO:0005634,GO:0005737,GO:0008283,GO:0051301,GO:0007049,GO:0051276","metal ion binding,endonuclease activity,nucleus,cytoplasm,cell proliferation,cell division,cell cycle,chromosome organization",.
PES1,pescadillo ribosomal biogenesis factor 1 [Source:HGNC Symbol;Acc:8848],ENSG00000100029,ENSP00000384252,2,"BRCT[1],Pescadillo_N[1]",family-543,PES1,.,.,rRNA,rRNA,"This gene encodes a nuclear protein that contains a breast cancer associated gene 1 (BRCA1) C-terminal interaction domain. The encoded protein interacts with BOP1 and WDR12 to form the PeBoW complex, which plays a critical role in cell proliferation via pre-rRNA processing and 60S ribosomal subunit maturation. Expression of this gene may play an important role in breast cancer proliferation and tumorigenicity. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. Pseudogenes of this gene are located on the long arm of chromosome 4 and the short arm of chromosome 9. [provided by RefSeq, Aug 2011]",candidate mRNA binder,RNArelated,1,1,1,.,"GO:0043021,GO:0030687,GO:0042254,GO:0006364,GO:0000463,GO:0000466,GO:0042273","ribonucleoprotein complex binding,preribosome, large subunit precursor,ribosome biogenesis,rRNA processing,maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),ribosomal large subunit biogenesis","GO:0005515,GO:0043021,GO:0005730,GO:0005654,GO:0000793,GO:0030687,GO:0070545,GO:0008283,GO:0042254,GO:0006364,GO:0051726,GO:0033365,GO:0007000,GO:0000463,GO:0000466,GO:0042273,GO:0005694,GO:0005634","protein binding,ribonucleoprotein complex binding,nucleolus,nucleoplasm,condensed chromosome,preribosome, large subunit precursor,PeBoW complex,cell proliferation,ribosome biogenesis,rRNA processing,regulation of cell cycle,protein localization to organelle,nucleolus organization,maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),ribosomal large subunit biogenesis,chromosome,nucleus",.
PET112,PET112 homolog (yeast) [Source:HGNC Symbol;Acc:8849],ENSG00000059691,ENSP00000426859,2,"GatB_Yqey[1],GatB_N[1]",family-506,PET112,.,.,tRNA,tRNA,19805282,.,.,.,.,.,.,"GO:0008135,GO:0050567,GO:0030956,GO:0006412,GO:0032543","translation factor activity, nucleic acid binding,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity,glutamyl-tRNA(Gln) amidotransferase complex,translation,mitochondrial translation","GO:0016874,GO:0016884,GO:0016740,GO:0005739,GO:0005524,GO:0008135,GO:0050567,GO:0030956,GO:0006412,GO:0032543,GO:0070681","ligase activity,carbon-nitrogen ligase activity, with glutamine as amido-N-donor,transferase activity,mitochondrion,ATP binding,translation factor activity, nucleic acid binding,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity,glutamyl-tRNA(Gln) amidotransferase complex,translation,mitochondrial translation,glutaminyl-tRNAGln biosynthesis via transamidation",.
PHAX,phosphorylated adaptor for RNA export [Source:HGNC Symbol;Acc:10241],ENSG00000164902,ENSP00000297540,1,RNA_GG_bind[1],family-566,PHAX,.,.,snRNA,snRNA/snoRNA,20430857,.,.,.,.,.,.,"GO:0003723,GO:0006408,GO:0016070,GO:0000387,GO:0034660","RNA binding,snRNA export from nucleus,RNA metabolic process,spliceosomal snRNP assembly,ncRNA metabolic process","GO:0003723,GO:0015643,GO:0005737,GO:0005634,GO:0005829,GO:0005654,GO:0043025,GO:0015030,GO:0006408,GO:0015031,GO:0010467,GO:0016070,GO:0000387,GO:0034660","RNA binding,toxic substance binding,cytoplasm,nucleus,cytosol,nucleoplasm,neuronal cell body,Cajal body,snRNA export from nucleus,protein transport,gene expression,RNA metabolic process,spliceosomal snRNP assembly,ncRNA metabolic process",.
PHF5A,PHD finger protein 5A [Source:HGNC Symbol;Acc:18000],ENSG00000100410,ENSP00000216252,1,PHF5[1],family-568,PHF5A,.,.,mRNA,mRNA/snRNA,"This gene encodes a subunit of the splicing factor 3b protein complex. Splicing factor 3b, together with splicing factor 3a and a 12S RNA unit, forms the U2 small nuclear ribonucleoproteins complex (U2 snRNP). The splicing factor 3b/3a complex binds pre-mRNA upstream of the intron's branch site in a sequence-independent manner and may anchor the U2 snRNP to the pre-mRNA. The protein encoded by this gene contains a PHD-finger-like domain that is flanked by highly basic N- and C-termini. This protein belongs to the PHD-finger superfamily and may act as a chromatin-associated protein. This gene has several pseudogenes on different chromosomes. [provided by RefSeq, Jul 2008]",RNAbinding,RNArelated,1,1,.,.,"GO:0005686,GO:0005689,GO:0008380,GO:0000398","U2 snRNP,U12-type spliceosomal complex,RNA splicing,mRNA splicing, via spliceosome","GO:0005515,GO:0003700,GO:0003677,GO:0016607,GO:0005654,GO:0016363,GO:0005686,GO:0005689,GO:0045893,GO:0006351,GO:0010467,GO:0008380,GO:0000398","protein binding,sequence-specific DNA binding transcription factor activity,DNA binding,nuclear speck,nucleoplasm,nuclear matrix,U2 snRNP,U12-type spliceosomal complex,positive regulation of transcription, DNA-dependent,transcription, DNA-templated,gene expression,RNA splicing,mRNA splicing, via spliceosome",.
PHRF1,PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:24351] [Type: protein coding Ensembl/Havana merge],ENSG00000070047,ENSP00000410626,2,"PHD[1],zf-RING_2[1]",family-578,PHRF1,.,.,mRNA,putative mRNA,by homology,.,.,.,.,.,.,GO:0006397,mRNA processing,"GO:0070063,GO:0005515,GO:0008270,GO:0046872,GO:0019904,GO:0006366,GO:0006397","RNA polymerase binding,protein binding,zinc ion binding,metal ion binding,protein domain specific binding,transcription from RNA polymerase II promoter,mRNA processing",.
PIH1D1,PIH1 domain containing 1 [Source:HGNC Symbol;Acc:26075],ENSG00000104872,ENSP00000469087,2,PIH1[2],family-218,PIH1D1,.,.,snoRNA,snoRNA,17636026,.,.,.,.,.,.,"GO:0070761,GO:0000492","pre-snoRNP complex,box C/D snoRNP assembly","GO:0070761,GO:0000492","pre-snoRNP complex,box C/D snoRNP assembly",.
PIH1D2,PIH1 domain containing 2 [Source:HGNC Symbol;Acc:25210],ENSG00000262740,ENSP00000460262,1,PIH1[1],family-689,PIH1D2,.,.,unknown,unknown,established RBP ,.,.,.,.,.,.,.,.,.,.,.
PIH1D3,PIH1 domain containing 3 [Source:HGNC Symbol;Acc:28570],ENSG00000080572,ENSP00000337757,1,PIH1[1],family-468,PIH1D3,.,.,unknown,unknown,established RBP ,.,.,.,.,.,.,.,.,.,.,.
PIN4,"protein (peptidylprolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin) [Source:HGNC Symbol;Acc:8992]",ENSG00000102309,ENSP00000362773,1,Rotamase_3[1],family-512,PIN4,.,.,rRNA,rRNA,19369196,candidate mRNA binder,.,.,1,.,.,"GO:0030684,GO:0006364","preribosome,rRNA processing","GO:0003677,GO:0003690,GO:0003755,GO:0003681,GO:0005634,GO:0005737,GO:0005759,GO:0005730,GO:0005819,GO:0030684,GO:0006457,GO:0006364,GO:0016853","DNA binding,double-stranded DNA binding,peptidyl-prolyl cis-trans isomerase activity,bent DNA binding,nucleus,cytoplasm,mitochondrial matrix,nucleolus,spindle,preribosome,protein folding,rRNA processing,isomerase activity",.
PINX1,"PIN2/TERF1 interacting, telomerase inhibitor 1 [Source:HGNC Symbol;Acc:30046]",ENSG00000254093,ENSP00000318966,1,G-patch[1],family-1070,PINX1,.,.,ncRNA,teloRNA,21119197,.,.,.,.,.,.,GO:0070034,telomeric RNA binding,"GO:0003676,GO:0005634,GO:0005737,GO:0005739,GO:0043231,GO:0005730,GO:0005515,GO:0070034,GO:0010521,GO:0005819,GO:0000777,GO:0000781,GO:0000776,GO:0000228,GO:0008285,GO:0007080,GO:0051974,GO:0007004,GO:0051972","nucleic acid binding,nucleus,cytoplasm,mitochondrion,intracellular membrane-bounded organelle,nucleolus,protein binding,telomeric RNA binding,telomerase inhibitor activity,spindle,condensed chromosome kinetochore,chromosome, telomeric region,kinetochore,nuclear chromosome,negative regulation of cell proliferation,mitotic metaphase plate congression,negative regulation of telomerase activity,telomere maintenance via telomerase,regulation of telomerase activity",.
PIWIL1,piwi-like 1 (Drosophila) [Source:HGNC Symbol;Acc:9007],ENSG00000125207,ENSP00000245255,3,"GAGE[1],PAZ[1],Piwi[1]",family-412,"PIWIL1,PIWIL2,PIWIL3,PIWIL4",PIWIL1,"PIWIL2[39,35],PIWIL3[51,49],PIWIL4[49,50]",ncRNA,piRNA,established RBP ,.,.,.,.,.,.,"GO:0003727,GO:0003729,GO:0034584,GO:0005845,GO:0034587,GO:0043186,GO:0006417,GO:0031047","single-stranded RNA binding,mRNA binding,piRNA binding,mRNA cap binding complex,piRNA metabolic process,P granule,regulation of translation,gene silencing by RNA","GO:0005515,GO:0003727,GO:0003729,GO:0034584,GO:0005845,GO:0005844,GO:0033391,GO:0007286,GO:0034587,GO:0003676,GO:0005737,GO:0043186,GO:0007283,GO:0007275,GO:0006417,GO:0031047,GO:0007126","protein binding,single-stranded RNA binding,mRNA binding,piRNA binding,mRNA cap binding complex,polysome,chromatoid body,spermatid development,piRNA metabolic process,nucleic acid binding,cytoplasm,P granule,spermatogenesis,multicellular organismal development,regulation of translation,gene silencing by RNA,meiosis",.
PIWIL2,piwi-like 2 (Drosophila) [Source:HGNC Symbol;Acc:17644],ENSG00000197181,ENSP00000428267,2,"PAZ[1],Piwi[1]",family-412,"PIWIL1,PIWIL2,PIWIL3,PIWIL4",PIWIL1,"PIWIL2[39,35],PIWIL3[51,49],PIWIL4[49,50]",ncRNA,piRNA,established RBP ,.,.,.,.,.,.,"GO:0003729,GO:0034584,GO:0071546,GO:0043186,GO:0031047,GO:0045727,GO:0034587,GO:0000966","mRNA binding,piRNA binding,pi-body,P granule,gene silencing by RNA,positive regulation of translation,piRNA metabolic process,RNA 5'-end processing","GO:0005515,GO:0003676,GO:0003729,GO:0034584,GO:0005737,GO:0005844,GO:0071546,GO:0033391,GO:0043186,GO:0007275,GO:0007283,GO:0031047,GO:0048477,GO:0045727,GO:0007126,GO:0030718,GO:0034587,GO:0043046,GO:0060903,GO:0000966","protein binding,nucleic acid binding,mRNA binding,piRNA binding,cytoplasm,polysome,pi-body,chromatoid body,P granule,multicellular organismal development,spermatogenesis,gene silencing by RNA,oogenesis,positive regulation of translation,meiosis,germ-line stem cell maintenance,piRNA metabolic process,DNA methylation involved in gamete generation,positive regulation of meiosis I,RNA 5'-end processing",.
PIWIL3,piwi-like 3 (Drosophila) [Source:HGNC Symbol;Acc:18443],ENSG00000184571,ENSP00000431843,2,"PAZ[1],Piwi[1]",family-412,"PIWIL1,PIWIL2,PIWIL3,PIWIL4",PIWIL1,"PIWIL2[39,35],PIWIL3[51,49],PIWIL4[49,50]",ncRNA,piRNA,established RBP ,.,.,.,.,.,.,"GO:0003723,GO:0006417,GO:0031047","RNA binding,regulation of translation,gene silencing by RNA","GO:0005515,GO:0003676,GO:0003723,GO:0005737,GO:0030154,GO:0007275,GO:0007283,GO:0006417,GO:0031047,GO:0007126","protein binding,nucleic acid binding,RNA binding,cytoplasm,cell differentiation,multicellular organismal development,spermatogenesis,regulation of translation,gene silencing by RNA,meiosis",.
PIWIL4,piwi-like 4 (Drosophila) [Source:HGNC Symbol;Acc:18444],ENSG00000134627,ENSP00000299001,2,"PAZ[1],Piwi[1]",family-412,"PIWIL1,PIWIL2,PIWIL3,PIWIL4",PIWIL1,"PIWIL2[39,35],PIWIL3[51,49],PIWIL4[49,50]",ncRNA,piRNA,established RBP ,.,.,.,.,.,.,"GO:0034584,GO:0071547,GO:0031047,GO:0034587,GO:0043186,GO:0006417","piRNA binding,piP-body,gene silencing by RNA,piRNA metabolic process,P granule,regulation of translation","GO:0005515,GO:0003676,GO:0034584,GO:0005634,GO:0071547,GO:0007283,GO:0031047,GO:0034587,GO:0043046,GO:0005737,GO:0043186,GO:0030154,GO:0007275,GO:0006417,GO:0007126","protein binding,nucleic acid binding,piRNA binding,nucleus,piP-body,spermatogenesis,gene silencing by RNA,piRNA metabolic process,DNA methylation involved in gamete generation,cytoplasm,P granule,cell differentiation,multicellular organismal development,regulation of translation,meiosis",.
PLD6,"phospholipase D family, member 6 [Source:HGNC Symbol;Acc:30447]",ENSG00000179598,ENSP00000317177,1,PLDc_2[1],family-216,PLD6,.,.,ncRNA,piRNA,established RBP ,.,.,.,.,.,.,GO:0034587,piRNA metabolic process,"GO:0042803,GO:0046872,GO:0004519,GO:0003824,GO:0035755,GO:0005741,GO:0016021,GO:0043046,GO:0007286,GO:0007126,GO:0034587,GO:0030719,GO:0044281,GO:0016042,GO:0008152,GO:0008053,GO:0006644,GO:0046474,GO:0006655","protein homodimerization activity,metal ion binding,endonuclease activity,catalytic activity,cardiolipin hydrolase activity,mitochondrial outer membrane,integral to membrane,DNA methylation involved in gamete generation,spermatid development,meiosis,piRNA metabolic process,P granule organization,small molecule metabolic process,lipid catabolic process,metabolic process,mitochondrial fusion,phospholipid metabolic process,glycerophospholipid biosynthetic process,phosphatidylglycerol biosynthetic process",.
PLRG1,pleiotropic regulator 1 [Source:HGNC Symbol;Acc:9089],ENSG00000171566,ENSP00000424417,6,WD40[6],family-385,PLRG1,.,.,mRNA,mRNA/snoRNA,"This gene encodes a core component of the cell division cycle 5-like (CDC5L) complex. The CDC5L complex is part of the spliceosome and is required for pre-mRNA splicing. The encoded protein plays a critical role in alternative splice site selection. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Jan 2011]",.,.,.,.,.,.,"GO:0071013,GO:0000398","catalytic step 2 spliceosome,mRNA splicing, via spliceosome","GO:0005515,GO:0003714,GO:0004871,GO:0005634,GO:0016607,GO:0071013,GO:0007165,GO:0000398","protein binding,transcription corepressor activity,signal transducer activity,nucleus,nuclear speck,catalytic step 2 spliceosome,signal transduction,mRNA splicing, via spliceosome",.
PNLDC1,poly(A)-specific ribonuclease (PARN)-like domain containing 1 [Source:HGNC Symbol;Acc:21185],ENSG00000146453,ENSP00000275275,.,.,family-132,"PARN,PNLDC1",PARN,"PNLDC1[20,25]",mRNA,mRNA,by homology,.,.,.,.,.,.,.,.,"GO:0003676,GO:0016021,GO:0005634","nucleic acid binding,integral to membrane,nucleus",.
PNN,"pinin, desmosome associated protein [Source:HGNC Symbol;Acc:9162]",ENSG00000100941,ENSP00000216832,2,"Pinin_SDK_N[1],Pinin_SDK_memA[1]",family-1047,PNN,.,.,mRNA,putative mRNA,12051732,candidate mRNA binder,RNArelated,1,1,.,.,"GO:0071013,GO:0000398","catalytic step 2 spliceosome,mRNA splicing, via spliceosome","GO:0005198,GO:0003677,GO:0005634,GO:0005886,GO:0005737,GO:0005882,GO:0005911,GO:0016607,GO:0030057,GO:0035145,GO:0071013,GO:0006351,GO:0006355,GO:0007155,GO:0000398","structural molecule activity,DNA binding,nucleus,plasma membrane,cytoplasm,intermediate filament,cell-cell junction,nuclear speck,desmosome,exon-exon junction complex,catalytic step 2 spliceosome,transcription, DNA-templated,regulation of transcription, DNA-dependent,cell adhesion,mRNA splicing, via spliceosome",.
PNO1,partner of NOB1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:32790],ENSG00000115946,ENSP00000263657,1,KH_1[1],family-968,PNO1,.,.,rRNA,rRNA,"21075849, 12736301",RNAbinding,.,.,1,.,1,GO:0003723,RNA binding,"GO:0003723,GO:0005730","RNA binding,nucleolus",.
PNPT1,polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:23166],ENSG00000138035,ENSP00000400646,7,"S1[1],PNPase[1],RNase_PH[2],RNase_PH_C[2],KH_1[1]",family-41,PNPT1,.,.,diverse,diverse,established RBP ,nuclease,.,.,1,.,1,"GO:0003723,GO:0000175,GO:0006396,GO:0004654,GO:0006402,GO:0034046,GO:0008266,GO:0035198,GO:0061014,GO:0043631,GO:0006401,GO:0035928,GO:0000964,GO:0000958,GO:0000962,GO:0000965,GO:0000957,GO:0035927,GO:0071042,GO:0097222,GO:2000627","RNA binding,3'-5'-exoribonuclease activity,RNA processing,polyribonucleotide nucleotidyltransferase activity,mRNA catabolic process,poly(G) RNA binding,poly(U) RNA binding,miRNA binding,positive regulation of mRNA catabolic process,RNA polyadenylation,RNA catabolic process,rRNA import into mitochondrion,mitochondrial RNA 5'-end processing,mitochondrial mRNA catabolic process,positive regulation of mitochondrial RNA catabolic process,mitochondrial RNA 3'-end processing,mitochondrial RNA catabolic process,RNA import into mitochondrion,nuclear polyadenylation-dependent mRNA catabolic process,mitochondrial mRNA polyadenylation,positive regulation of miRNA catabolic process","GO:0003723,GO:0000175,GO:0006396,GO:0004654,GO:0006402,GO:0005515,GO:0034046,GO:0008266,GO:0035198,GO:0005886,GO:0005737,GO:0005739,GO:0005758,GO:0045025,GO:0051260,GO:0035458,GO:0071850,GO:0070584,GO:0034599,GO:0070207,GO:0061014,GO:0045926,GO:0043631,GO:0006401,GO:2000772,GO:0043457,GO:0035928,GO:0000964,GO:0000958,GO:0000962,GO:0000965,GO:0000957,GO:0035927,GO:0071042,GO:0097222,GO:2000627","RNA binding,3'-5'-exoribonuclease activity,RNA processing,polyribonucleotide nucleotidyltransferase activity,mRNA catabolic process,protein binding,poly(G) RNA binding,poly(U) RNA binding,miRNA binding,plasma membrane,cytoplasm,mitochondrion,mitochondrial intermembrane space,mitochondrial degradosome,protein homooligomerization,cellular response to interferon-beta,mitotic cell cycle arrest,mitochondrion morphogenesis,cellular response to oxidative stress,protein homotrimerization,positive regulation of mRNA catabolic process,negative regulation of growth,RNA polyadenylation,RNA catabolic process,regulation of cellular senescence,regulation of cellular respiration,rRNA import into mitochondrion,mitochondrial RNA 5'-end processing,mitochondrial mRNA catabolic process,positive regulation of mitochondrial RNA catabolic process,mitochondrial RNA 3'-end processing,mitochondrial RNA catabolic process,RNA import into mitochondrion,nuclear polyadenylation-dependent mRNA catabolic process,mitochondrial mRNA polyadenylation,positive regulation of miRNA catabolic process", COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 13; COXPD13
